t(s)	ag (m/s^2)
0	-0.0322
0.005	0.0243
0.01	-0.0174
0.015	-0.0414
0.02	-0.0273
0.025	-0.0331
0.03	-0.0162
0.035	0.0023
0.04	0.0255
0.045	0.0294
0.05	0.0301
0.055	0.0466
0.06	0.054
0.065	0.047
0.07	0.0437
0.075	0.0173
0.08	-0.0205
0.085	-0.0242
0.09	-0.0408
0.095	-0.0474
0.1	-0.0357
0.105	-0.0307
0.11	-0.0028
0.115	0.0236
0.12	0.0332
0.125	0.0396
0.13	0.0383
0.135	0.0308
0.14	0.0306
0.145	0.0313
0.15	0.0233
0.155	0.0149
0.16	0.0194
0.165	0.044
0.17	0.0748
0.175	0.0827
0.18	0.0731
0.185	0.0698
0.19	0.0566
0.195	0.0253
0.2	-0.0131
0.205	-0.0362
0.21	-0.0398
0.215	-0.0528
0.22	-0.0488
0.225	-0.0233
0.23	-0.0219
0.235	0.0095
0.24	0.0416
0.245	0.018
0.25	0.0085
0.255	-0.0009
0.26	-0.0277
0.265	-0.0473
0.27	-0.0531
0.275	-0.0588
0.28	-0.0536
0.285	-0.0227
0.29	-0.011
0.295	0.0252
0.3	0.0733
0.305	0.1012
0.31	0.1324
0.315	0.1106
0.32	0.0797
0.325	0.0677
0.33	0.0005
0.335	-0.0442
0.34	-0.0463
0.345	-0.0835
0.35	-0.0769
0.355	-0.0143
0.36	0.0107
0.365	0.0161
0.37	0.029
0.375	0.0118
0.38	-0.01
0.385	-0.0316
0.39	-0.0794
0.395	-0.0767
0.4	-0.0242
0.405	-0.0016
0.41	0.0389
0.415	0.1039
0.42	0.1424
0.425	0.1344
0.43	0.1152
0.435	0.0981
0.44	0.0641
0.445	0.0298
0.45	-0.0505
0.455	-0.0889
0.46	-0.0487
0.465	-0.0594
0.47	-0.0734
0.475	-0.0387
0.48	-0.0315
0.485	-0.0385
0.49	-0.0147
0.495	0.012
0.5	0.0476
0.505	0.0702
0.51	0.0803
0.515	0.0919
0.52	0.0767
0.525	0.0813
0.53	0.1127
0.535	0.1311
0.54	0.1301
0.545	0.113
0.55	0.0929
0.555	0.0826
0.56	0.0518
0.565	-0.0509
0.57	-0.0817
0.575	-0.05
0.58	-0.0208
0.585	0.0868
0.59	0.1545
0.595	0.1671
0.6	0.1571
0.605	0.1233
0.61	0.0839
0.615	0.0212
0.62	0.0226
0.625	0.064
0.63	0.0568
0.635	0.0368
0.64	0.0288
0.645	-0.0218
0.65	-0.1177
0.655	-0.1926
0.66	-0.2049
0.665	-0.1917
0.67	-0.1573
0.675	-0.0391
0.68	0.0937
0.685	0.1565
0.69	0.1837
0.695	0.2112
0.7	0.2273
0.705	0.2404
0.71	0.1966
0.715	0.0879
0.72	0.0096
0.725	-0.1196
0.73	-0.2589
0.735	-0.3114
0.74	-0.3626
0.745	-0.2828
0.75	-0.1517
0.755	-0.0256
0.76	0.1422
0.765	0.1625
0.77	0.1043
0.775	0.0303
0.78	-0.1396
0.785	-0.2811
0.79	-0.099
0.795	0.1218
0.8	0.2471
0.805	0.477
0.81	0.5285
0.815	0.4791
0.82	0.3771
0.825	0.1438
0.83	0.0191
0.835	-0.039
0.84	-0.0771
0.845	-0.0935
0.85	-0.1051
0.855	-0.0988
0.86	-0.127
0.865	-0.1908
0.87	-0.2746
0.875	-0.2386
0.88	-0.1401
0.885	-0.0368
0.89	0.1605
0.895	0.3153
0.9	0.3355
0.905	0.3059
0.91	0.3107
0.915	0.1433
0.92	-0.1223
0.925	-0.2015
0.93	-0.1538
0.935	-0.0246
0.94	0.064
0.945	0.2624
0.95	0.2909
0.955	0.1781
0.96	0.1812
0.965	-0.2415
0.97	-0.5009
0.975	-0.3894
0.98	-0.4857
0.985	-0.5182
0.99	-0.3725
0.995	-0.2532
1	-0.0548
1.005	0.1653
1.01	0.2713
1.015	0.4354
1.02	0.4549
1.025	0.408
1.03	0.4254
1.035	0.3961
1.04	0.359
1.045	0.2716
1.05	0.1307
1.055	-0.0377
1.06	-0.2116
1.065	-0.3868
1.07	-0.5365
1.075	-0.5488
1.08	-0.3667
1.085	-0.2274
1.09	-0.1451
1.095	-0.1131
1.1	-0.124
1.105	-0.0597
1.11	0.0292
1.115	0.1314
1.12	0.2104
1.125	0.3323
1.13	0.4324
1.135	0.4504
1.14	0.4952
1.145	0.5035
1.15	0.497
1.155	0.4681
1.16	0.3244
1.165	0.1424
1.17	0.1124
1.175	0.0866
1.18	-0.053
1.185	-0.0597
1.19	-0.1677
1.195	-0.4036
1.2	-0.5875
1.205	-0.7489
1.21	-0.7058
1.215	-0.6515
1.22	-0.566
1.225	-0.2621
1.23	0.0069
1.235	0.2614
1.24	0.4317
