t(s)	ag(m/s^2)
0	0.00553
0.02	0.01434
0.04	0.0191
0.06	0.01124
0.08	0.0005
0.1	-0.00598
0.12	-0.01026
0.14	-0.01836
0.16	-0.01697
0.18	-0.00882
0.2	-0.00071
0.22	0.00565
0.24	0.00857
0.26	0.00251
0.28	-0.01119
0.3	-0.02277
0.32	-0.01402
0.34	-0.00791
0.36	0.01477
0.38	0.01387
0.4	0.00083
0.42	-0.00746
0.44	0.0183
0.46	0.00746
0.48	-0.00215
0.5	0.00959
0.52	0.00281
0.54	-0.01542
0.56	-0.00195
0.58	0.00883
0.6	-0.0038
0.62	-0.00517
0.64	-0.02064
0.66	-0.03175
0.68	-0.0327
0.7	-0.00841
0.72	0.0261
0.74	0.01626
0.76	0.00951
0.78	-0.01316
0.8	-0.02161
0.82	-0.03441
0.84	-0.01336
0.86	0.01745
0.88	0.02584
0.9	0.0095
0.92	-0.00184
0.94	0.00304
0.96	0.01866
0.98	0.02501
1	0.01139
1.02	-0.00266
1.04	-0.00762
1.06	-0.02129
1.08	0.00256
1.1	0.0009
1.12	0.00946
1.14	0.02309
1.16	0.04775
1.18	0.00294
1.2	-0.01832
1.22	-0.05231
1.24	-0.02317
1.26	-0.01223
1.28	0.00349
1.3	0.04297
1.32	0.00718
1.34	0.00883
1.36	0.00706
1.38	0.00214
1.4	0.0146
1.42	-0.01406
1.44	0.00716
1.46	-0.01143
1.48	0.00475
1.5	0.02562
1.52	0.05232
1.54	0.03905
1.56	0.01764
1.58	-0.00931
1.6	0.01108
1.62	-0.03072
1.64	-0.016
1.66	0.02695
1.68	0.08445
1.7	0.12433
1.72	0.02709
1.74	-0.00079
1.76	-0.05394
1.78	-0.04726
1.8	-0.03941
1.82	0.02109
1.84	0.08012
1.86	-0.02605
1.88	-0.11826
1.9	-0.1004
1.92	-0.01675
1.94	0.0531
1.96	0.08671
1.98	0.04714
2	0.00363
2.02	-0.07378
2.04	-0.07117
2.06	0.02168
2.08	0.07046
2.1	0.08914
2.12	0.15415
2.14	0.10568
2.16	-0.04633
2.18	-0.10241
2.2	-0.07851
2.22	0.04842
2.24	0.07221
2.26	0.02347
2.28	-0.00324
2.3	-0.12844
2.32	-0.09905
2.34	-0.08291
2.36	-0.01095
2.38	-0.04785
2.4	-0.11512
2.42	-0.08151
2.44	-0.09562
2.46	-0.10769
2.48	-0.05905
2.5	-0.01466
2.52	0.00794
2.54	0.02955
2.56	0.0218
2.58	0.11077
2.6	0.01937
2.62	-0.02907
2.64	0.00926
2.66	0.12019
2.68	0.19061
2.7	0.17122
2.72	0.05485
2.74	-0.0886
2.76	-0.08193
2.78	-0.03706
2.8	-0.05821
2.82	-0.04776
2.84	-0.05719
2.86	-0.17418
2.88	-0.11331
2.9	-0.06938
2.92	-0.0767
2.94	-0.08851
2.96	-0.09806
2.98	-0.15901
3	-0.13044
3.02	-0.03236
3.04	0.06555
3.06	0.15691
3.08	0.1376
3.1	0.00639
3.12	-0.05536
3.14	-0.0923
3.16	-0.18487
3.18	-0.32505
3.2	-0.31275
3.22	0.02077
3.24	0.31141
3.26	0.2696
3.28	-0.01111
3.3	-0.39757
3.32	-0.62953
3.34	-0.32001
3.36	0.21877
3.38	0.47169
3.4	0.20641
3.42	0.11101
3.44	-0.11285
3.46	0.0241
3.48	0.26501
3.5	0.16343
3.52	-0.15557
3.54	-0.36169
3.56	-0.38692
3.58	-0.43897
3.6	-0.34403
3.62	-0.46165
3.64	-0.59251
3.66	-0.44962
3.68	-0.30872
3.7	-0.18469
3.72	-0.17154
3.74	-0.24634
3.76	-0.02384
3.78	0.80256
3.8	1.4603
3.82	1.63646
3.84	1.36197
3.86	0.66114
3.88	-0.08422
3.9	-0.11845
3.92	0.21967
3.94	0.26188
3.96	-0.20158
3.98	-0.91753
4	-1.09806
4.02	-0.55055
4.04	-0.15605
4.06	-0.08352
4.08	0.11488
4.1	0.16589
4.12	-0.09729
4.14	-0.30834
4.16	-0.06335
4.18	0.05398
4.2	-0.07554
4.22	0.06203
4.24	0.29124
4.26	-0.07402
4.28	-0.80347
4.3	-0.8636
4.32	-0.51478
4.34	-0.10113
4.36	0.94439
4.38	1.52512
4.4	1.16612
4.42	0.68441
4.44	0.36848
4.46	0.10538
4.48	-0.01641
4.5	0.15885
4.52	0.45536
4.54	0.36738
4.56	-0.04146
4.58	-0.85799
4.6	-1.2401
4.62	-0.99807
4.64	-0.91951
4.66	-0.24917
4.68	0.59775
4.7	1.07248
4.72	1.01489
4.74	1.13658
4.76	0.86731
4.78	0.23501
4.8	-0.40823
4.82	-1.13181
4.84	-1.12204
4.86	-0.39216
4.88	0.78428
4.9	1.32395
4.92	1.2937
4.94	0.61814
4.96	0.00504
4.98	-0.46764
5	-0.67466
5.02	-0.67749
5.04	-0.34556
5.06	0.16276
5.08	0.25891
5.1	-0.2402
5.12	-0.57656
5.14	-0.73331
5.16	-0.98499
5.18	-1.09514
5.2	-0.68473
5.22	-0.04404
5.24	0.53416
5.26	1.09521
5.28	1.50404
5.3	0.98748
5.32	0.02757
5.34	-0.42999
5.36	-0.1659
5.38	0.43828
5.4	0.63194
5.42	0.65587
5.44	0.8318
5.46	0.90634
5.48	0.89869
5.5	0.26143
5.52	-0.62861
5.54	-1.06196
5.56	-0.27772
5.58	0.58301
5.6	0.75245
5.62	0.64936
5.64	0.22087
5.66	-0.16745
5.68	-0.5554
5.7	-0.46872
5.72	0.13063
5.74	0.74483
5.76	0.91134
5.78	0.31332
5.8	-0.30853
5.82	-0.71925
5.84	-0.81829
5.86	-0.38438
5.88	-0.14154
5.9	0.05623
5.92	0.33849
5.94	0.6234
5.96	1.24901
5.98	1.50828
6	0.6066
6.02	-0.57267
6.04	-0.5086
6.06	-0.04456
6.08	0.40732
6.1	0.31133
6.12	-0.6642
6.14	-1.7513
6.16	-1.9625
6.18	-1.97559
6.2	-1.85298
6.22	-1.75065
6.24	-1.29465
6.26	-0.34038
6.28	0.61789
6.3	0.44856
6.32	-0.23545
6.34	-0.17129
6.36	0.15168
6.38	0.67344
6.4	1.11854
6.42	0.89158
6.44	-0.37695
6.46	-1.53241
6.48	-1.32801
6.5	-0.38489
6.52	0.54324
6.54	1.1348
6.56	0.88248
6.58	-0.09274
6.6	-0.7339
6.62	-0.42186
6.64	0.73833
6.66	1.46499
6.68	1.24797
6.7	0.45124
6.72	-0.52215
6.74	-0.74218
6.76	-0.39476
6.78	-0.00617
6.8	-0.4585
6.82	-1.21449
6.84	-1.20828
6.86	-0.46871
6.88	-0.09858
6.9	-0.00981
6.92	0.53897
6.94	1.53027
6.96	1.59306
6.98	1.10277
7	0.72208
7.02	0.54998
7.04	0.76327
7.06	0.86715
7.08	0.85593
7.1	0.69423
7.12	-0.24707
7.14	-1.29078
7.16	-1.33166
7.18	-0.53549
7.2	-0.0944
7.22	0.20946
7.24	0.86765
7.26	1.19973
7.28	0.72236
7.3	0.04338
7.32	-0.12138
7.34	-0.23089
7.36	-0.39458
7.38	-0.23666
7.4	0.19223
7.42	0.54995
7.44	0.57447
7.46	0.53447
7.48	0.56874
7.5	0.44344
7.52	0.20029
7.54	-0.33849
7.56	-0.87692
7.58	-0.74848
7.6	-0.68034
7.62	-0.68694
7.64	-0.762
7.66	-0.58048
7.68	-0.46436
7.7	-0.1282
7.72	0.04261
7.74	-0.31979
7.76	-0.8579
7.78	-1.02207
7.8	-0.90344
7.82	-0.83063
7.84	-0.60338
7.86	-0.46494
7.88	-0.4981
7.9	-0.62977
7.92	-0.47845
7.94	-0.18698
7.96	-0.30253
7.98	-0.47442
8	-0.17493
8.02	0.33835
8.04	0.62299
8.06	0.60858
8.08	0.17579
8.1	-0.60461
8.12	-1.05066
8.14	-0.86021
8.16	-0.20319
8.18	0.3397
8.2	0.97617
8.22	1.47388
8.24	1.3342
8.26	0.69036
8.28	0.14581
8.3	-0.35478
8.32	-0.34646
8.34	-0.17347
8.36	-0.17257
8.38	-0.03345
8.4	0.32986
8.42	0.40105
8.44	0.15266
8.46	-0.02064
8.48	-0.32051
8.5	-0.92431
8.52	-0.84415
8.54	-0.46569
8.56	-0.47247
8.58	-0.51433
8.6	-0.36192
8.62	-0.41337
8.64	-0.37482
8.66	-0.13745
8.68	0.26014
8.7	0.61713
8.72	0.98229
8.74	0.93746
8.76	0.61727
8.78	0.54933
8.8	0.69912
8.82	0.82332
8.84	0.3761
8.86	-0.27952
8.88	-0.49637
8.9	-0.19391
8.92	0.10046
8.94	0.21432
8.96	-0.10056
8.98	-0.57019
9	-0.44398
9.02	-0.00251
9.04	-0.10912
9.06	-0.6242
9.08	-0.83169
9.1	-0.39138
9.12	0.35263
9.14	0.83639
9.16	0.79524
9.18	0.23529
9.2	-0.5354
9.22	-0.90273
9.24	-0.33489
9.26	0.44063
9.28	0.41456
9.3	0.35774
9.32	0.51054
9.34	0.47991
9.36	0.24082
9.38	-0.01213
9.4	-0.39862
9.42	-0.6432
9.44	-0.46045
9.46	-0.3604
9.48	-0.44566
9.5	-0.71236
9.52	-0.59205
9.54	-0.15712
9.56	0.0431
9.58	0.1318
9.6	0.10768
9.62	0.11279
9.64	0.33516
9.66	0.40443
9.68	0.36432
9.7	0.35509
9.72	0.34837
9.74	0.2465
9.76	0.21885
9.78	0.08574
9.8	-0.13671
9.82	-0.54938
9.84	-0.66177
9.86	-0.49926
9.88	0.05577
9.9	0.35219
9.92	0.49013
9.94	0.2853
9.96	-0.19969
9.98	-0.36568
10	-0.32521
10.02	-0.38122
10.04	-0.54005
10.06	-0.55392
10.08	-0.55679
10.1	-0.28479
10.12	-0.0436
10.14	-0.14677
10.16	0.02354
10.18	0.26138
10.2	0.3391
10.22	0.48745
10.24	0.52637
10.26	0.13057
10.28	-0.03388
10.3	-0.07421
10.32	-0.24316
10.34	-0.16988
10.36	0.03092
10.38	0.10238
10.4	0.15032
10.42	0.6284
10.44	0.79298
10.46	0.26253
10.48	-0.10095
10.5	-0.12557
10.52	-0.24521
10.54	-0.55853
10.56	-0.84412
10.58	-1.05982
10.6	-1.12144
10.62	-0.89602
10.64	-0.24816
10.66	0.26888
10.68	0.38936
10.7	0.60112
10.72	0.8146
10.74	0.89692
10.76	1.09727
10.78	1.12232
10.8	0.71389
10.82	0.10299
10.84	0.09064
10.86	0.37726
10.88	0.2431
10.9	-0.23837
10.92	-0.47892
10.94	-0.09569
10.96	0.2577
10.98	0.377
11	0.47633
11.02	0.10928
11.04	-0.78588
11.06	-1.21128
11.08	-1.05155
11.1	-1.10774
11.12	-1.36847
11.14	-1.09982
11.16	-0.47262
11.18	0.00059
11.2	-0.09346
11.22	-0.52416
11.24	-0.78584
11.26	-0.19156
11.28	0.46055
11.3	0.21893
11.32	-0.01466
11.34	-0.01891
11.36	-0.00172
11.38	-0.12083
11.4	-0.13389
11.42	0.0459
11.44	0.54628
11.46	1.02628
11.48	1.1349
11.5	0.70308
11.52	0.25165
11.54	0.02362
11.56	0.02266
11.58	-0.10614
11.6	-0.29354
11.62	-0.05979
11.64	0.47823
11.66	0.47157
11.68	0.11836
11.7	0.07191
11.72	0.15571
11.74	-0.00038
11.76	-0.03507
11.78	-0.06575
11.8	-0.56706
11.82	-0.81036
11.84	-0.03388
11.86	0.54546
11.88	0.12988
11.9	0.09991
11.92	0.45163
11.94	0.80112
11.96	0.95444
11.98	0.91543
12	0.78585
12.02	0.62449
12.04	0.08961
12.06	-0.69217
12.08	-0.84835
12.1	-0.54885
12.12	-0.20232
12.14	0.25828
