t(s)	ag (m/s^2)
0	0.0002
0.02	-0.0001
0.04	0.0002
0.06	-0.0001
0.08	0.0002
0.1	-0.0001
0.12	0.0002
0.14	-0.0001
0.16	0.0002
0.18	-0.0001
0.2	0.0002
0.22	-0.0001
0.24	0.0002
0.26	-0.0001
0.28	0.0002
0.3	-0.0001
0.32	0.0001
0.34	-0.0001
0.36	0.0001
0.38	-0.0001
0.4	0.0001
0.42	-0.0001
0.44	0.0001
0.46	-0.0002
0.48	0.0001
0.5	-0.0002
0.52	0.0001
0.54	-0.0002
0.56	0.0001
0.58	-0.0002
0.6	0.0001
0.62	-0.0002
0.64	0.0001
0.66	-0.0002
0.68	0.0001
0.7	-0.0002
0.72	0.0001
0.74	-0.0002
0.76	0.0001
0.78	-0.0002
0.8	0.0001
0.82	-0.0002
0.84	0
0.86	-0.0002
0.88	0
0.9	-0.0002
0.92	0
0.94	-0.0002
0.96	0
0.98	-0.0003
1	0
1.02	-0.0003
1.04	0
1.06	-0.0003
1.08	0
1.1	-0.0003
1.12	0
1.14	-0.0003
1.16	0
1.18	-0.0003
1.2	0
1.22	-0.0003
1.24	0
1.26	-0.0003
1.28	-0.0001
1.3	-0.0003
1.32	-0.0001
1.34	-0.0003
1.36	-0.0001
1.38	-0.0003
1.4	-0.0001
1.42	-0.0004
1.44	-0.0001
1.46	-0.0004
1.48	-0.0001
1.5	-0.0004
1.52	-0.0001
1.54	-0.0004
1.56	-0.0001
1.58	-0.0004
1.6	-0.0001
1.62	-0.0004
1.64	-0.0001
1.66	-0.0004
1.68	-0.0001
1.7	-0.0004
1.72	-0.0001
1.74	-0.0004
1.76	-0.0001
1.78	-0.0004
1.8	-0.0001
1.82	-0.0004
1.84	-0.0002
1.86	-0.0004
1.88	-0.0002
1.9	-0.0004
1.92	-0.0002
1.94	-0.0004
1.96	-0.0002
1.98	-0.0004
2	-0.0002
2.02	-0.0004
2.04	-0.0002
2.06	-0.0004
2.08	-0.0002
2.1	-0.0004
2.12	-0.0002
2.14	-0.0004
2.16	-0.0002
2.18	-0.0004
2.2	-0.0002
2.22	-0.0004
2.24	-0.0002
2.26	-0.0004
2.28	-0.0002
2.3	-0.0004
2.32	-0.0002
2.34	-0.0004
2.36	-0.0002
2.38	-0.0004
2.4	-0.0002
2.42	-0.0004
2.44	-0.0002
2.46	-0.0004
2.48	-0.0001
2.5	-0.0004
2.52	-0.0001
2.54	-0.0004
2.56	-0.0001
2.58	-0.0004
2.6	-0.0001
2.62	-0.0004
2.64	-0.0001
2.66	-0.0004
2.68	-0.0001
2.7	-0.0004
2.72	-0.0001
2.74	-0.0004
2.76	-0.0001
2.78	-0.0003
2.8	-0.0001
2.82	-0.0003
2.84	0
2.86	-0.0003
2.88	0
2.9	-0.0003
2.92	0
2.94	-0.0003
2.96	0
2.98	-0.0003
3	0
3.02	-0.0002
3.04	0
3.06	-0.0002
3.08	0.0001
3.1	-0.0002
3.12	0.0001
3.14	-0.0002
3.16	0.0001
3.18	-0.0001
3.2	0.0001
3.22	-0.0001
3.24	0.0002
3.26	-0.0001
3.28	0.0002
3.3	-0.0001
3.32	0.0002
3.34	0
3.36	0.0003
3.38	0
3.4	0.0003
3.42	0
3.44	0.0003
3.46	0.0001
3.48	0.0003
3.5	0.0001
3.52	0.0004
3.54	0.0001
3.56	0.0004
3.58	0.0002
3.6	0.0005
3.62	0.0002
3.64	0.0005
3.66	0.0003
3.68	0.0005
3.7	0.0003
3.72	0.0006
3.74	0.0003
3.76	0.0006
3.78	0.0004
3.8	0.0007
3.82	0.0004
3.84	0.0007
3.86	0.0005
3.88	0.0007
3.9	0.0005
3.92	0.0008
3.94	0.0006
3.96	0.0008
3.98	0.0006
4	0.0009
4.02	0.0007
4.04	0.0009
4.06	0.0007
4.08	0.001
4.1	0.0008
4.12	0.001
4.14	0.0008
4.16	0.0011
4.18	0.0009
4.2	0.0011
4.22	0.0009
4.24	0.0012
4.26	0.001
4.28	0.0012
4.3	0.001
4.32	0.0013
4.34	0.0011
4.36	0.0013
4.38	0.0011
4.4	0.0014
4.42	0.0012
4.44	0.0015
4.46	0.0012
4.48	0.0015
4.5	0.0013
4.52	0.0016
4.54	0.0014
4.56	0.0016
4.58	0.0014
4.6	0.0017
4.62	0.0015
4.64	0.0017
4.66	0.0015
4.68	0.0018
4.7	0.0016
4.72	0.0018
4.74	0.0017
4.76	0.0019
4.78	0.0017
4.8	0.002
4.82	0.0018
4.84	0.002
4.86	0.0019
4.88	0.002
4.9	0.002
4.92	0.0021
4.94	0.0021
4.96	0.002
4.98	0.0023
5	-0.0009
5.02	-0.0019
5.04	-0.0016
5.06	-0.0021
5.08	-0.0014
5.1	-0.002
5.12	-0.0019
5.14	-0.002
5.16	-0.0018
5.18	-0.0024
5.2	-0.0019
5.22	-0.0019
5.24	-0.0014
5.26	-0.0024
5.28	-0.0012
5.3	-0.002
5.32	-0.0017
5.34	-0.0022
5.36	-0.0016
5.38	-0.0016
5.4	-0.0012
5.42	-0.0015
5.44	-0.0012
5.46	-0.0016
5.48	-0.0013
5.5	-0.0014
5.52	-0.0012
5.54	-0.0015
5.56	-0.0016
5.58	-0.0016
5.6	-0.0012
5.62	-0.0016
5.64	-0.0014
5.66	-0.0013
5.68	-0.0011
5.7	-0.0012
5.72	-0.001
5.74	-0.0013
5.76	-0.0009
5.78	-0.0009
5.8	-0.001
5.82	-0.001
5.84	-0.0004
5.86	-0.0009
5.88	-0.0008
5.9	-0.0011
5.92	-0.001
5.94	-0.0009
5.96	-0.0008
5.98	-0.0005
6	-0.0006
6.02	-0.0011
6.04	-0.0005
6.06	-0.0011
6.08	-0.0004
6.1	-0.0006
6.12	-0.0003
6.14	-0.0011
6.16	-0.0006
6.18	-0.0009
6.2	-0.0001
6.22	-0.0003
6.24	-0.0003
6.26	-0.0007
6.28	-0.0001
6.3	-0.0003
6.32	-0.0003
6.34	-0.0007
6.36	-0.0004
6.38	-0.0003
6.4	0.0001
6.42	-0.0002
6.44	-0.0003
6.46	-0.0007
6.48	0.0002
6.5	-0.0001
6.52	0.0001
6.54	-0.0003
6.56	-0.0001
6.58	-0.0006
6.6	0.0001
6.62	-0.0001
6.64	0.0001
6.66	0
6.68	-0.0002
6.7	-0.0006
6.72	0.0002
6.74	-0.0001
6.76	0.0002
6.78	-0.0001
6.8	0.0003
6.82	0.0003
6.84	0.0001
6.86	0.0002
6.88	0.0002
6.9	-0.0002
6.92	0.0005
6.94	0.0001
6.96	0
6.98	0.0001
7	0.0003
7.02	0
7.04	0
7.06	0.0004
7.08	0.0003
7.1	0.0001
7.12	0.0003
7.14	-0.0001
7.16	0.0004
7.18	0.0001
7.2	0.0001
7.22	0
7.24	0.0004
7.26	0.0002
7.28	0.0008
7.3	0.0002
7.32	0.0001
7.34	0
7.36	0.0005
7.38	0.0002
7.4	0
7.42	-0.0006
7.44	0.0002
7.46	0
7.48	0.0005
7.5	-0.0001
7.52	0.0004
7.54	0.0001
7.56	0.0002
7.58	0.0006
7.6	0.0002
7.62	0
7.64	0.0007
7.66	-0.0001
7.68	0.0002
7.7	0.0002
7.72	0.0004
7.74	0
7.76	0.0006
7.78	-0.0003
7.8	0.0002
7.82	-0.0002
7.84	0.0005
7.86	-0.0001
7.88	0.0002
7.9	0.0001
7.92	0.0001
7.94	0.0002
7.96	0.0003
7.98	0.0006
8	0.0006
8.02	0.0004
8.04	0.0004
8.06	0.0003
8.08	0.0004
8.1	-0.0001
8.12	0.0002
8.14	0.0002
8.16	0.0005
8.18	0.0004
8.2	0.0004
8.22	-0.0001
8.24	0.0002
8.26	0.0004
8.28	0.0006
8.3	-0.0001
8.32	0.0007
8.34	0.0003
8.36	0.0003
8.38	0
8.4	0.0006
8.42	0.0001
8.44	0.0005
8.46	0
8.48	0.0006
8.5	0.0005
8.52	0.0006
8.54	0.0003
8.56	0.0002
8.58	0.0001
8.6	0.0006
8.62	0.0003
8.64	0.0005
8.66	-0.0001
8.68	0.0003
8.7	-0.0001
8.72	0.0002
8.74	0
8.76	0.0008
8.78	0
8.8	0.0001
8.82	0.0003
8.84	0
8.86	0.0003
8.88	0.0003
8.9	0.0007
8.92	0.0005
8.94	-0.0003
8.96	0.0002
8.98	0.0001
9	0.0001
9.02	-0.0002
9.04	0.0006
9.06	0.0001
9.08	0.0003
9.1	0.0001
9.12	0.0006
9.14	-0.0001
9.16	0.0002
9.18	0.0003
9.2	-0.0001
9.22	-0.0001
9.24	0.0001
9.26	-0.0001
9.28	0.0001
9.3	-0.0005
9.32	0.0001
9.34	0
9.36	0.0001
9.38	0
9.4	0.0003
9.42	0
9.44	0.0001
9.46	-0.0002
9.48	0.0003
9.5	-0.0003
9.52	0.0001
9.54	-0.0005
9.56	-0.0002
9.58	0.0001
9.6	0.0002
9.62	0.0001
9.64	0.0001
9.66	-0.0007
9.68	0.0003
9.7	-0.0001
9.72	-0.0002
9.74	-0.0001
9.76	0
9.78	-0.0002
9.8	0.0004
9.82	-0.0003
9.84	-0.0001
9.86	-0.0001
9.88	0.0001
9.9	-0.0002
9.92	0
9.94	0.0001
9.96	0
9.98	0
10	-0.0002
10.02	-0.0002
10.04	0
10.06	-0.0002
10.08	-0.0004
10.1	-0.0004
10.12	0.0002
10.14	-0.0004
10.16	0.0001
10.18	-0.0002
10.2	-0.0001
10.22	0
10.24	0
10.26	0
10.28	0.0001
10.3	-0.0002
10.32	0.0002
10.34	-0.0004
10.36	0.0003
10.38	-0.0004
10.4	0
10.42	-0.0003
10.44	-0.0001
10.46	-0.0003
10.48	0
10.5	-0.0002
10.52	-0.0001
10.54	-0.0003
10.56	0
10.58	-0.0002
10.6	-0.0004
10.62	0.0001
10.64	-0.0001
10.66	-0.0005
10.68	0
10.7	-0.0001
10.72	0.0003
10.74	-0.0001
10.76	-0.0002
10.78	0
10.8	0.0002
10.82	0
10.84	0.0002
10.86	-0.0001
10.88	-0.0001
10.9	-0.0001
10.92	0.0006
10.94	0.0002
10.96	0.0003
10.98	0.0001
11	0.0004
11.02	-0.0004
11.04	0
11.06	-0.0004
11.08	0.0001
11.1	0.0001
11.12	-0.0001
11.14	-0.0001
11.16	0.0001
11.18	-0.0002
11.2	0.0003
11.22	-0.0002
11.24	0.0002
11.26	-0.0002
11.28	-0.0001
11.3	0
11.32	0
11.34	-0.0001
11.36	0.0003
11.38	0
11.4	-0.0003
11.42	-0.0005
11.44	-0.0002
11.46	-0.0001
11.48	0.0001
11.5	-0.0002
11.52	0.0006
11.54	-0.0006
11.56	-0.0002
11.58	-0.0002
11.6	-0.0004
11.62	-0.0002
11.64	0
11.66	-0.0001
11.68	0.0002
11.7	0.0001
11.72	0
11.74	-0.0004
11.76	0.0004
11.78	-0.0003
11.8	0.0002
11.82	0
11.84	0.0002
11.86	-0.0003
11.88	0.0002
11.9	-0.0002
11.92	0.0004
11.94	0.0001
11.96	0
11.98	0
12	0.0005
12.02	-0.0003
12.04	-0.0001
12.06	0
12.08	-0.0001
12.1	-0.0003
12.12	0.0001
12.14	0
12.16	-0.0003
12.18	0.0001
12.2	-0.0005
12.22	-0.0004
12.24	0.0005
12.26	-0.0006
12.28	-0.0002
12.3	0.0002
