T	acela. (m)
0.02	-0.07628
0.04	0.01902
0.06	-0.03955
0.08	-0.09875
0.1	-0.0521
0.12	0.00284
0.14	0.04187
0.16	0.02805
0.18	-0.01232
0.2	-0.0531
0.22	-0.03907
0.24	0.03045
0.26	0.08504
0.28	0.08557
0.3	0.06046
0.32	0.00779
0.34	0.00343
0.36	0.00191
0.38	-0.04023
0.4	-0.10519
0.42	-0.11379
0.44	-0.06469
0.46	-0.04352
0.48	-0.02257
0.5	-0.02108
0.52	-0.01907
0.54	0.0396
0.56	0.07462
0.58	0.01147
0.6	-0.05737
0.62	-0.02767
0.64	0.10201
0.66	0.11298
0.68	0.04756
0.7	-0.04844
0.72	-0.01
0.74	0.04014
0.76	0.02517
0.78	-0.05833
0.8	-0.07185
0.82	0.06493
0.84	0.10696
0.86	-0.03156
0.88	-0.16873
0.9	-0.09866
0.92	0.0484
0.94	0.06477
0.96	-0.03563
0.98	-0.04478
1	0.02856
1.02	-0.03491
1.04	-0.14316
1.06	-0.22745
1.08	-0.17831
1.1	-0.18295
1.12	-0.12318
1.14	0.0134
1.16	0.08547
1.18	0.06724
1.2	0.04676
1.22	-0.03989
1.24	-0.05524
1.26	0.01422
1.28	0.04003
1.3	0.00084
1.32	0.02258
1.34	0.08485
1.36	0.11101
1.38	0.14989
1.4	0.18418
1.42	0.15667
1.44	0.07921
1.46	0.003
1.48	-0.0804
1.5	-0.04143
1.52	0.07755
1.54	0.17987
1.56	0.11386
1.58	-0.00878
1.6	-0.10451
1.62	-0.08446
1.64	-0.07407
1.66	-0.08811
1.68	-0.09539
1.7	-0.01598
1.72	0.05207
1.74	0.0077
1.76	-0.0673
1.78	-0.16785
1.8	-0.19465
1.82	-0.13463
1.84	-0.04947
1.86	-0.03042
1.88	-0.11712
1.9	-0.23414
1.92	-0.23735
1.94	-0.06194
1.96	0.06847
1.98	0.11254
2	0.08492
2.02	0.03853
2.04	-0.02194
2.06	-0.02274
2.08	0.15813
2.1	0.26026
2.12	0.08975
2.14	-0.16005
2.16	-0.21913
2.18	-0.16714
2.2	-0.20946
2.22	-0.2431
2.24	-0.18358
2.26	-0.04183
2.28	0.10389
2.3	0.23392
2.32	0.08839
2.34	-0.13931
2.36	-0.36144
2.38	-0.3024
2.4	-0.15701
2.42	-0.11255
2.44	-0.07214
2.46	0.07861
2.48	0.13189
2.5	0.12497
2.52	0.07659
2.54	-0.06699
2.56	-0.22214
2.58	-0.22501
2.6	-0.19445
2.62	-0.25378
2.64	-0.23142
2.66	-0.11753
2.68	0.01035
2.7	0.08526
2.72	0.1124
2.74	0.14323
2.76	0.20431
2.78	0.19634
2.8	0.16612
2.82	0.18223
2.84	0.17518
2.86	0.08782
2.88	0.01501
2.9	0.04873
2.92	0.05173
2.94	0.0405
2.96	0.09099
2.98	0.07844
3	0.02134
3.02	-0.03425
3.04	0.05043
3.06	0.21853
3.08	0.3561
3.1	0.31975
3.12	0.24051
3.14	0.32242
3.16	0.48325
3.18	0.56673
3.2	0.60903
3.22	0.70769
3.24	0.65076
3.26	0.53462
3.28	0.51614
3.3	0.48796
3.32	0.49802
3.34	0.5177
3.36	0.56069
3.38	0.48087
3.4	0.34746
3.42	0.25475
3.44	0.16861
3.46	0.14514
3.48	0.2556
3.5	0.39535
3.52	0.45053
3.54	0.43247
3.56	0.23562
3.58	-0.03249
3.6	-0.32077
3.62	-0.54642
3.64	-0.74417
3.66	-0.92395
3.68	-1.18157
3.7	-1.46354
3.72	-1.7594
3.74	-1.60683
3.76	-1.17181
3.78	-0.68064
3.8	-0.18381
3.82	0.34362
3.84	0.64019
3.86	0.61057
3.88	0.55261
3.9	0.45076
3.92	0.46845
3.94	0.55325
3.96	0.64704
3.98	0.56319
4	0.37011
4.02	0.16181
4.04	-0.04641
4.06	-0.04579
4.08	0.08568
4.1	0.22308
4.12	0.39548
4.14	0.45787
4.16	0.21042
4.18	-0.1341
4.2	-0.49772
4.22	-0.83394
4.24	-0.67449
4.26	-0.36618
4.28	0.01549
4.3	0.01473
4.32	-0.29972
4.34	-0.65221
4.36	-0.74875
4.38	-0.6932
4.4	-0.61824
4.42	-0.33467
4.44	-0.03163
4.46	0.31659
4.48	0.44792
4.5	0.44125
4.52	0.16268
4.54	-0.35017
4.56	-0.92072
4.58	-1.21119
4.6	-0.82199
4.62	-0.33476
4.64	0.21573
4.66	0.37024
4.68	0.52982
4.7	0.55417
4.72	0.36555
4.74	0.14346
4.76	-0.1091
4.78	-0.3423
4.8	-0.60871
4.82	-0.68204
4.84	-0.45638
4.86	-0.2104
4.88	-0.00461
4.9	0.31238
4.92	0.847
4.94	1.11195
4.96	0.86761
4.98	0.50044
5	0.0957
5.02	-0.30821
5.04	-0.39204
5.06	-0.27626
5.08	-0.11014
5.1	-0.05014
5.12	-0.00644
5.14	0.18392
5.16	0.39709
5.18	0.5163
5.2	0.41755
5.22	0.28535
5.24	0.17854
5.26	0.27147
5.28	0.4026
5.3	0.56401
5.32	0.66851
5.34	0.45483
5.36	0.14974
5.38	-0.18879
5.4	-0.52058
5.42	-0.86736
5.44	-1.08783
5.46	-1.12033
5.48	-1.02684
5.5	-0.8792
5.52	-0.61983
5.54	-0.27173
5.56	0.08308
5.58	0.43099
5.6	0.49683
5.62	0.41119
5.64	0.36717
5.66	0.47191
5.68	0.61473
5.7	0.77038
5.72	0.91245
5.74	0.72636
5.76	0.34873
5.78	-0.07018
5.8	-0.42258
5.82	-0.29944
5.84	-0.01952
5.86	0.14892
5.88	-0.07427
5.9	-0.36101
5.92	-0.71709
5.94	-0.88803
5.96	-0.6282
5.98	-0.29329
6	0.11693
6.02	0.21313
6.04	-0.04501
6.06	-0.23899
6.08	-0.32214
6.1	-0.41148
6.12	-0.36127
6.14	-0.22876
6.16	-0.07886
6.18	0.06632
6.2	0.15087
6.22	0.14712
6.24	-0.00942
6.26	-0.28811
6.28	-0.32316
6.3	-0.16173
6.32	0.06753
6.34	0.02121
6.36	-0.33607
6.38	-0.74744
6.4	-0.93867
6.42	-0.7177
6.44	-0.6201
6.46	-0.31849
6.48	0.07787
6.5	0.51534
6.52	0.94817
6.54	1.36868
6.56	1.46421
6.58	1.43277
6.6	1.3836
6.62	1.33876
6.64	1.34078
6.66	1.34289
6.68	1.08986
6.7	0.76078
6.72	0.40888
6.74	0.05156
6.76	-0.29659
6.78	-0.66935
6.8	-0.83091
6.82	-0.57642
6.84	-0.28769
6.86	0.09272
6.88	0.22124
6.9	0.08569
6.92	-0.08705
6.94	-0.279
6.96	-0.48169
6.98	-0.55115
7	-0.36196
7.02	-0.14113
7.04	0.11495
7.06	0.36043
7.08	0.58785
7.1	0.51004
7.12	0.32608
7.14	0.1139
7.16	-0.10479
7.18	-0.31817
7.2	-0.54054
7.22	-0.74686
7.24	-0.98585
7.26	-1.01054
7.28	-0.69454
7.3	-0.34374
7.32	0.06672
7.34	0.32017
7.36	0.1257
7.38	-0.0086
7.4	0.1551
7.42	0.38809
7.44	0.58112
7.46	0.37899
7.48	0.16537
7.5	0.22113
7.52	0.39088
7.54	0.38071
7.56	0.13636
7.58	-0.11678
7.6	-0.41377
7.62	-0.67811
7.64	-0.98085
7.66	-1.10331
7.68	-1.06632
7.7	-0.99426
7.72	-0.96609
7.74	-1.01383
7.76	-1.02103
7.78	-0.72843
7.8	-0.3569
7.82	0.05726
7.84	0.44671
7.86	0.88851
7.88	0.95122
7.9	0.40891
7.92	0.15457
7.94	0.36176
7.96	0.68097
7.98	0.81886
8	0.44587
8.02	0.36401
8.04	0.20176
8.06	-0.21873
8.08	-0.66498
8.1	-0.83319
8.12	-0.55601
8.14	-0.13492
8.16	0.30021
8.18	0.76267
8.2	0.7872
8.22	0.43013
8.24	0.07244
8.26	0.0348
8.28	0.14726
8.3	0.1367
8.32	0.09851
8.34	0.13722
8.36	0.21909
8.38	0.07434
8.4	-0.16974
8.42	-0.43491
8.44	-0.37862
8.46	-0.09221
8.48	0.18081
8.5	0.36487
8.52	0.52409
8.54	0.71699
8.56	0.87662
8.58	0.87986
8.6	0.59054
8.62	0.14388
8.64	-0.37123
8.66	-0.62397
8.68	-0.53354
8.7	-0.41383
8.72	-0.29969
8.74	-0.29556
8.76	-0.23305
8.78	-0.13641
8.8	-0.13797
8.82	-0.31211
8.84	-0.54006
8.86	-0.61969
8.88	-0.43095
8.9	-0.21072
8.92	0.04084
8.94	0.28273
8.96	0.32108
8.98	0.14285
9	-0.02587
9.02	-0.2875
9.04	-0.62286
9.06	-1.04542
9.08	-1.11974
9.1	-0.83259
9.12	-0.4907
9.14	-0.09067
9.16	0.30645
9.18	0.70445
9.2	1.09282
9.22	1.02854
9.24	0.64441
9.26	0.33274
9.28	0.17602
9.3	-0.12477
9.32	-0.48297
9.34	-0.90572
9.36	-1.01032
9.38	-0.77964
9.4	-0.50634
9.42	-0.25156
9.44	-0.14374
9.46	-0.05641
9.48	0.01958
9.5	0.15218
9.52	0.293
9.54	0.44693
9.56	0.56312
9.58	0.47418
9.6	0.31936
9.62	0.2118
9.64	0.26784
9.66	0.15303
9.68	-0.14702
9.7	-0.4808
9.72	-0.75703
9.74	-0.66275
9.76	-0.51513
9.78	-0.41566
9.8	-0.31222
9.82	-0.02615
9.84	0.28993
9.86	0.47975
9.88	0.64769
9.9	0.70152
9.92	0.58189
9.94	0.45389
9.96	0.28182
9.98	0.24845
10	0.39511
10.02	0.59112
10.04	0.66438
10.06	0.46919
10.08	0.23914
10.1	-0.00004
10.12	0.09836
10.14	0.34545
10.16	0.50218
10.18	0.26462
10.2	-0.03666
10.22	-0.42026
10.24	-0.55834
10.26	-0.34167
10.28	-0.06682
10.3	0.21302
10.32	0.16593
10.34	0.04683
10.36	0.11382
10.38	0.28964
10.4	0.22488
10.42	0.01184
10.44	-0.14571
10.46	-0.09815
10.48	-0.00829
10.5	0.09161
10.52	0.03382
10.54	-0.0641
10.56	-0.15142
10.58	-0.15874
10.6	-0.24113
10.62	-0.34505
10.64	-0.47821
10.66	-0.5304
10.68	-0.41078
10.7	-0.26371
10.72	-0.26929
10.74	-0.30678
10.76	-0.24129
10.78	-0.08161
10.8	-0.06543
10.82	-0.25271
10.84	-0.44313
10.86	-0.40332
10.88	-0.24451
10.9	-0.22243
10.92	-0.29999
10.94	-0.33818
10.96	-0.20232
10.98	-0.03288
11	0.16577
11.02	0.33085
11.04	0.48339
11.06	0.62373
11.08	0.84305
11.1	0.8144
11.12	0.50481
11.14	0.1565
11.16	-0.20614
11.18	-0.59801
11.2	-0.69561
11.22	-0.33866
11.24	0.03283
11.26	0.50154
11.28	0.68495
11.3	0.65151
11.32	0.57644
11.34	0.33263
11.36	0.07185
11.38	-0.22418
11.4	-0.42454
11.42	-0.52656
11.44	-0.58707
11.46	-0.39368
11.48	-0.12194
11.5	0.14021
11.52	0.24292
11.54	0.20921
11.56	0.09642
11.58	-0.01531
11.6	0.00849
11.62	-0.00041
11.64	-0.12616
11.66	-0.24866
11.68	-0.39736
11.7	-0.34108
11.72	-0.14841
11.74	0.07041
11.76	0.2973
11.78	0.51716
11.8	0.55519
11.82	0.49632
11.84	0.49998
11.86	0.54242
11.88	0.47461
11.9	0.26449
11.92	0.04996
11.94	-0.20115
11.96	-0.32529
11.98	-0.35102
12	-0.31775
12.02	-0.26249
12.04	-0.205
12.06	-0.13771
12.08	-0.10559
12.1	-0.23321
12.12	-0.41407
12.14	-0.52053
12.16	-0.35037
12.18	-0.12659
12.2	0.12798
12.22	0.27904
12.24	0.37989
12.26	0.47366
12.28	0.50457
12.3	0.37941
12.32	0.22237
12.34	0.08123
12.36	0.10857
12.38	0.17292
12.4	0.25423
12.42	0.16418
12.44	-0.06807
12.46	-0.30499
12.48	-0.55405
12.5	-0.41972
12.52	-0.0916
12.54	0.29468
12.56	0.45053
12.58	0.35847
12.6	0.26265
12.62	0.15507
12.64	0.01274
12.66	-0.16107
12.68	-0.22869
12.7	-0.18583
12.72	-0.25321
12.74	-0.35698
12.76	-0.44606
12.78	-0.44329
12.8	-0.4116
12.82	-0.25988
12.84	-0.06998
12.86	0.14887
12.88	0.2724
12.9	0.2624
12.92	0.25378
12.94	0.32087
12.96	0.40826
12.98	0.33493
13	0.19387
13.02	0.03491
13.04	-0.12578
13.06	-0.28627
13.08	-0.38105
13.1	-0.39948
13.12	-0.3584
13.14	-0.29501
13.16	-0.239
13.18	-0.34095
13.2	-0.47427
13.22	-0.27319
13.24	0.02384
13.26	0.36431
13.28	0.6567
13.3	0.8135
13.32	0.91527
13.34	1.03449
13.36	0.97627
13.38	0.68291
13.4	0.35946
13.42	0.01625
13.44	-0.33847
13.46	-0.5368
13.48	-0.42605
13.5	-0.27976
13.52	-0.08917
13.54	0.0851
13.56	0.24922
13.58	0.14715
13.6	-0.01534
13.62	-0.21604
13.64	-0.25693
13.66	-0.16789
13.68	-0.06251
13.7	0.0558
13.72	0.07331
13.74	0.02439
13.76	-0.00635
13.78	-0.051
13.8	-0.09259
13.82	-0.13327
13.84	-0.12003
13.86	-0.15498
13.88	-0.32016
13.9	-0.41562
13.92	-0.28034
13.94	-0.10661
13.96	0.10936
13.98	0.19073
14	0.13824
14.02	0.08073
14.04	0.05566
14.06	-0.00331
14.08	-0.12649
14.1	-0.27784
14.12	-0.30307
14.14	-0.02678
14.16	0.28316
14.18	0.65061
14.2	0.76148
14.22	0.64653
14.24	0.49937
14.26	0.40558
14.28	0.35332
14.3	0.14705
14.32	-0.04252
14.34	-0.15946
14.36	-0.10076
14.38	0.05884
14.4	0.09595
14.42	0.02987
14.44	-0.07281
14.46	-0.03532
14.48	0.11907
14.5	0.17688
14.52	0.24795
14.54	0.32795
14.56	0.35596
14.58	0.3319
14.6	0.31506
14.62	0.26968
14.64	0.10193
14.66	-0.09615
14.68	-0.30996
14.7	-0.42265
14.72	-0.44718
14.74	-0.45436
14.76	-0.39153
14.78	-0.34677
14.8	-0.41389
14.82	-0.53402
14.84	-0.5445
14.86	-0.45501
14.88	-0.29524
14.9	-0.03474
14.92	0.22292
14.94	0.5068
14.96	0.7227
14.98	0.69751
15	0.59493
15.02	0.48006
15.04	0.32188
15.06	0.10515
15.08	-0.12099
15.1	-0.3544
15.12	-0.5703
15.14	-0.58021
15.16	-0.49893
15.18	-0.39916
15.2	-0.29398
15.22	-0.18944
15.24	-0.086
15.26	-0.02691
15.28	-0.01186
15.3	0.08485
15.32	0.16962
15.34	0.24419
15.36	0.26807
15.38	0.20093
15.4	0.13125
15.42	0.19892
15.44	0.32964
15.46	0.49943
15.48	0.40405
15.5	0.15123
15.52	-0.12728
15.54	-0.40169
15.56	-0.39221
15.58	-0.23409
15.6	-0.07612
15.62	0.03563
15.64	0.12148
15.66	0.21426
15.68	0.16064
15.7	-0.04116
15.72	-0.24966
15.74	-0.48612
15.76	-0.63477
15.78	-0.69667
15.8	-0.75705
15.82	-0.73303
15.84	-0.56836
15.86	-0.38425
15.88	-0.18146
15.9	0.01639
15.92	0.19672
15.94	0.14167
15.96	0.02563
15.98	-0.12356
16	-0.22573
16.02	-0.19031
16.04	-0.1127
16.06	-0.07651
16.08	-0.00834
16.1	0.15346
16.12	0.32246
16.14	0.51711
16.16	0.6123
16.18	0.47971
16.2	0.29682
16.22	0.12254
16.24	0.06835
16.26	0.00622
16.28	-0.04136
16.3	-0.0598
16.32	-0.08073
16.34	-0.11704
16.36	-0.15174
16.38	-0.21315
16.4	-0.25419
16.42	-0.27553
16.44	-0.26442
16.46	-0.19518
16.48	-0.13004
16.5	-0.09332
16.52	-0.01298
16.54	0.09173
16.56	0.19681
16.58	0.28862
16.6	0.32455
16.62	0.25899
16.64	0.17567
16.66	0.10542
16.68	0.06313
16.7	-0.02489
16.72	-0.13485
16.74	-0.20914
16.76	-0.1248
16.78	-0.00203
16.8	0.10544
16.82	0.13715
16.84	0.16939
16.86	0.21845
16.88	0.31192
16.9	0.2881
16.92	0.17573
16.94	0.06199
16.96	0.08603
16.98	0.15534
17	0.22398
17.02	0.19741
17.04	0.14774
17.06	0.0847
17.08	0.02686
17.1	-0.03795
17.12	-0.09039
17.14	-0.09366
17.16	-0.07039
17.18	-0.0977
17.2	-0.14383
17.22	-0.20264
17.24	-0.17295
17.26	-0.06719
17.28	0.03402
17.3	-0.04231
17.32	-0.22362
17.34	-0.41389
17.36	-0.60966
17.38	-0.57799
17.4	-0.42254
17.42	-0.24217
17.44	-0.05508
