Tiempo (s)	ag (m/2^2)
0	0.047
0.02	-0.08476
0.04	-0.131
0.06	-0.04161
0.08	0.04809
0.1	0.04462
0.12	-0.1487
0.14	-0.21914
0.16	-0.10151
0.18	-0.00725
0.2	-0.06944
0.22	-0.18255
0.24	-0.21327
0.26	-0.17551
0.28	-0.12481
0.3	-0.05223
0.32	0.01235
0.34	0.04082
0.36	0.114
0.38	0.10851
0.4	0.06633
0.42	0.04897
0.44	0.1188
0.46	0.19923
0.48	0.17705
0.5	0.18247
0.52	0.18627
0.54	0.15783
0.56	0.06234
0.58	-0.02706
0.6	-0.07008
0.62	-0.0833
0.64	-0.06984
0.66	-0.01026
0.68	0.02014
0.7	0.01194
0.72	0.01955
0.74	0.04823
0.76	-0.00153
0.78	-0.18356
0.8	-0.33215
0.82	-0.31399
0.84	-0.0723
0.86	0.11229
0.88	-0.01085
0.9	-0.20654
0.92	-0.26535
0.94	-0.09899
0.96	0.11356
0.98	0.20593
1	0.19088
1.02	0.1621
1.04	0.21362
1.06	0.21746
1.08	0.18146
1.1	0.0986
1.12	0.05808
1.14	0.13958
1.16	0.20265
1.18	0.08508
1.2	-0.10203
1.22	-0.2816
1.24	-0.26996
1.26	-0.06901
1.28	0.05842
1.3	0.13412
1.32	0.14349
1.34	0.1614
1.36	0.17333
1.38	0.09445
1.4	-0.12379
1.42	-0.29268
1.44	-0.25463
1.46	-0.09291
1.48	-0.01895
1.5	-0.06103
1.52	-0.12695
1.54	-0.17413
1.56	-0.27028
1.58	-0.31038
1.6	-0.17314
1.62	0.05121
1.64	0.27179
1.66	0.29058
1.68	0.1299
1.7	0.05776
1.72	0.10135
1.74	0.18208
1.76	0.15152
1.78	-0.0168
1.8	-0.04218
1.82	0.1891
1.84	0.30918
1.86	0.16743
1.88	-0.03886
1.9	-0.13435
1.92	-0.00322
1.94	0.23593
1.96	0.32345
1.98	0.06975
2	-0.18108
2.02	-0.19792
2.04	-0.11672
2.06	-0.06515
2.08	-0.11381
2.1	-0.226
2.12	-0.26938
2.14	-0.21018
2.16	-0.08928
2.18	-0.12836
2.2	-0.3019
2.22	-0.37373
2.24	-0.03464
2.26	0.31183
2.28	0.10446
2.3	-0.07664
2.32	-0.03326
2.34	0.00691
2.36	-0.0323
2.38	0.20387
2.4	0.53023
2.42	0.4506
2.44	0.29102
2.46	0.31758
2.48	0.29613
2.5	0.12329
2.52	0.06272
2.54	0.19264
2.56	0.18024
2.58	-0.12083
2.6	-0.22933
2.62	0.14219
2.64	0.35975
2.66	0.23634
2.68	0.03444
2.7	-0.40389
2.72	-0.65205
2.74	-0.68688
2.76	-0.41074
2.78	-0.04908
2.8	-0.08361
2.82	-0.24178
2.84	0.21193
2.86	0.92777
2.88	1.22393
2.9	1.03615
2.92	0.62623
2.94	0.38546
2.96	0.44461
2.98	0.62996
3	0.34283
3.02	-0.136
3.04	-0.39504
3.06	-0.39485
3.08	-0.61472
3.1	-0.86848
3.12	-0.90613
3.14	-0.74021
3.16	-0.43831
3.18	-0.00533
3.2	0.46697
3.22	0.55813
3.24	0.36324
3.26	0.36726
3.28	0.4035
3.3	0.14017
3.32	-0.26566
3.34	-0.49125
3.36	-0.40401
3.38	-0.22239
3.4	-0.13804
3.42	-0.21623
3.44	-0.35273
3.46	-0.55244
3.48	-0.50907
3.5	-0.06944
3.52	0.37986
3.54	0.85219
3.56	0.65734
3.58	-0.06793
3.6	-0.36583
3.62	-0.11017
3.64	0.3594
3.66	0.09488
3.68	-0.37236
3.7	-0.29391
3.72	0.08026
3.74	0.1234
3.76	-0.0851
3.78	-0.10811
3.8	-0.24924
3.82	-0.38724
3.84	-0.27651
3.86	0.35146
3.88	0.76228
3.9	0.37553
3.92	-0.02184
3.94	-0.06253
3.96	0.24766
3.98	0.43483
4	0.3046
4.02	0.0224
4.04	-0.06444
4.06	0.21583
4.08	0.37557
4.1	0.37193
4.12	0.51434
4.14	0.53989
4.16	0.43131
4.18	0.43447
4.2	0.5453
4.22	0.58887
4.24	0.53061
4.26	0.37364
4.28	0.05994
4.3	-0.16454
4.32	-0.21592
4.34	-0.32485
4.36	-0.64963
4.38	-0.741
4.4	-0.50387
4.42	-0.19677
4.44	-0.02719
4.46	-0.36121
