t(s)	ag (m/s^2)
0	0.06113
0.02	0.05105
0.04	0.03954
0.06	0.02657
0.08	0.03071
0.1	0.08682
0.12	0.14014
0.14	0.1422
0.16	0.07844
0.18	-0.0076
0.2	-0.09752
0.22	-0.07167
0.24	0.02291
0.26	0.00576
0.28	-0.01137
0.3	0.04324
0.32	0.04508
0.34	0.00356
0.36	0.05636
0.38	0.11902
0.4	0.06768
0.42	-0.12091
0.44	-0.12023
0.46	-0.00306
0.48	-0.02107
0.5	0.054
0.52	0.06131
0.54	0.02199
0.56	-0.10356
0.58	-0.22498
0.6	-0.17031
0.62	0.02339
0.64	0.08086
0.66	0.09236
0.68	0.34841
0.7	0.25399
0.72	-0.02579
0.74	-0.17952
0.76	-0.27317
0.78	0.00197
0.8	0.34773
0.82	0.07988
0.84	-0.24037
0.86	-0.07178
0.88	0.10413
0.9	0.13221
0.92	0.14901
0.94	0.2316
0.96	-0.06669
0.98	-0.41919
1	-0.02625
1.02	0.31525
1.04	0.23771
1.06	0.17933
1.08	0.13864
1.1	-0.14178
1.12	-0.37272
1.14	-0.31268
1.16	-0.26551
1.18	-0.15631
1.2	0.30517
1.22	0.46866
1.24	0.52409
1.26	0.31029
1.28	-0.25406
1.3	-0.15662
1.32	0.0316
1.34	0.03377
1.36	0.10586
1.38	0.25329
1.4	0.31742
1.42	0.39732
1.44	0.34688
1.46	0.28409
1.48	0.01272
1.5	-0.43288
1.52	-0.35318
1.54	-0.29492
1.56	0.04319
1.58	0.28865
1.6	0.49757
1.62	0.11808
1.64	-0.18391
1.66	0.35747
1.68	0.5835
1.7	0.21497
1.72	-0.12912
1.74	0.25147
1.76	0.26447
1.78	0.08625
1.8	-0.13613
1.82	-0.01234
1.84	0.10583
1.86	0.03197
1.88	-0.29503
1.9	-0.27372
1.92	-0.17704
1.94	-0.51827
1.96	-0.38423
1.98	0.10621
2	0.49829
2.02	0.09619
2.04	-0.51075
2.06	-0.20617
2.08	0.37193
2.1	0.5814
2.12	0.11943
2.14	-0.02939
2.16	0.36849
2.18	0.44829
2.2	-0.02068
2.22	-0.49972
2.24	0.1517
2.26	0.68052
2.28	0.10037
2.3	-0.59366
2.32	0.06661
2.34	1.10413
2.36	1.27893
2.38	0.36658
2.4	-0.26619
2.42	-0.35701
2.44	-0.75599
2.46	-0.78536
2.48	0.16405
2.5	0.83563
2.52	0.70584
2.54	0.08767
2.56	-0.01821
2.58	0.0308
2.6	-0.49315
2.62	-0.58718
2.64	-0.22295
2.66	0.15756
2.68	0.22895
2.7	0.54185
2.72	0.34993
2.74	-0.40017
2.76	-0.42588
2.78	0.09839
2.8	-0.14902
2.82	-0.41273
2.84	-0.42733
2.86	-0.17434
2.88	-0.0354
2.9	0.15073
2.92	0.55788
2.94	0.59737
2.96	0.42211
2.98	0.42039
3	0.6892
3.02	0.18832
3.04	0.01188
3.06	0.39161
3.08	0.39445
3.1	-0.05082
3.12	0.00541
3.14	0.08995
3.16	-0.07253
3.18	-0.01045
3.2	0.27004
3.22	0.3751
3.24	0.06264
3.26	-0.27336
3.28	-0.69309
3.3	-1.14516
3.32	-1.57278
3.34	-1.84508
3.36	-2.23008
3.38	-2.62912
3.4	-2.98839
3.42	-3.27393
3.44	-3.39799
3.46	-3.4977
3.48	-3.51478
3.5	-3.64538
3.52	-3.78771
3.54	-3.84207
3.56	-4.08722
3.58	-4.55766
3.6	-4.84871
3.62	-4.72495
3.64	-4.56005
3.66	-4.51391
3.68	-4.35599
3.7	-3.35904
3.72	-1.26397
3.74	1.0659
3.76	3.1169
3.78	4.63747
3.8	5.60469
3.82	6.47873
3.84	6.64793
3.86	6.13581
3.88	5.74459
3.9	5.01587
3.92	5.46232
3.94	1.98494
3.96	-4.39449
3.98	-5.78034
4	-5.01667
4.02	-4.09901
4.04	-3.60974
4.06	-2.6484
4.08	-0.52114
4.1	2.01178
4.12	3.76752
4.14	4.61041
4.16	6.2696
4.18	8.23811
4.2	8.2676
4.22	6.53667
4.24	5.56615
4.26	5.41587
4.28	4.79404
4.3	4.07632
4.32	3.72429
4.34	2.75212
4.36	0.04653
4.38	-2.35196
4.4	-2.88831
4.42	-2.12496
4.44	-0.58487
4.46	0.4293
4.48	1.15329
4.5	1.68102
4.52	2.36912
4.54	2.38009
4.56	0.99982
4.58	-0.16424
4.6	-0.35142
4.62	-0.29137
4.64	-0.43111
4.66	-0.87228
4.68	-1.33919
4.7	-1.6404
4.72	-0.56417
4.74	1.08755
4.76	1.80484
4.78	1.86501
4.8	0.99383
4.82	0.3787
4.84	0.2381
4.86	-0.32733
4.88	-0.85041
4.9	-1.0075
4.92	-1.14259
4.94	-1.38862
4.96	-1.90385
4.98	-2.4318
5	-2.69044
5.02	-2.76767
5.04	-2.64101
5.06	-2.39257
5.08	-1.47757
5.1	-0.20725
5.12	0.39117
5.14	0.44857
5.16	0.2306
5.18	-0.1838
5.2	-0.71103
5.22	-1.06747
5.24	-1.50292
5.26	-1.695
5.28	-1.89562
5.3	-1.71208
5.32	-0.77068
5.34	-0.05833
5.36	0.25928
5.38	0.35548
5.4	0.5609
5.42	1.34327
5.44	1.31339
5.46	0.34314
5.48	-0.12075
5.5	-0.35177
5.52	-0.71483
5.54	-1.47077
5.56	-1.1721
5.58	-0.27432
5.6	0.01847
5.62	-0.09922
5.64	-0.71046
5.66	-1.30027
5.68	-1.58125
5.7	-1.12241
5.72	-0.65672
5.74	-0.45804
5.76	-0.09612
5.78	0.55758
5.8	0.86985
5.82	0.8085
5.84	0.79355
5.86	0.83794
5.88	0.8802
5.9	0.48001
5.92	0.2467
5.94	0.16816
5.96	-0.09646
5.98	-0.69534
6	-1.05157
6.02	-1.0084
6.04	-1.0848
6.06	-1.35722
6.08	-1.59104
6.1	-1.66394
6.12	-1.66475
6.14	-1.5258
6.16	-1.26625
6.18	-0.61657
6.2	0.44554
6.22	1.35872
6.24	1.8549
6.26	1.82821
6.28	1.38015
6.3	0.94673
6.32	0.49459
6.34	0.09701
6.36	-0.33333
6.38	-0.66958
6.4	-0.93802
6.42	-1.1434
6.44	-1.21376
6.46	-0.92687
6.48	-0.2874
6.5	0.25689
6.52	0.61785
6.54	0.7283
6.56	0.74813
6.58	0.63418
6.6	0.32278
6.62	-0.2048
6.64	-0.85038
6.66	-1.63147
6.68	-2.34882
6.7	-2.7867
6.72	-2.11013
6.74	-0.57458
6.76	0.73642
6.78	1.52951
6.8	1.72326
6.82	1.37971
6.84	0.55436
6.86	-0.22757
6.88	-0.43598
6.9	-0.0987
6.92	0.41109
6.94	1.04991
6.96	1.57585
6.98	2.08911
7	2.42637
7.02	2.45543
7.04	2.2823
7.06	1.88676
7.08	1.57329
7.1	1.54966
7.12	1.6787
7.14	1.68583
7.16	1.42814
7.18	1.26694
7.2	1.19194
7.22	0.85792
7.24	0.67866
7.26	1.01832
7.28	1.46159
7.3	1.37786
7.32	1.02936
7.34	0.87832
7.36	0.68068
7.38	0.31645
7.4	0.00169
7.42	0.15365
7.44	0.59339
7.46	0.774
7.48	0.49103
7.5	-0.12821
7.52	-0.68632
7.54	-1.02263
7.56	-1.12572
