SEG	Columna1
0	0.07754
0.02	0.25986
0.04	0.12234
0.06	-0.25941
0.08	0.07161
0.1	0.20844
0.12	-0.30584
0.14	0.25833
0.16	0.3413
0.18	-0.37144
0.2	0.29526
0.22	0.34123
0.24	-0.36194
0.26	0.24882
0.28	0.18339
0.3	-0.36949
0.32	-0.31129
0.34	0.14366
0.36	0.07105
0.38	-0.14641
0.4	0.03605
0.42	-0.04047
0.44	-0.52674
0.46	-0.02814
0.48	0.71504
0.5	-0.18349
0.52	-1.02926
0.54	-0.7195
0.56	-0.11929
0.58	0.25399
0.6	0.59411
0.62	0.43286
0.64	-0.01598
0.66	-0.43226
0.68	-0.3296
0.7	-0.02339
0.72	-0.02361
0.74	0.14891
0.76	0.05981
0.78	-0.22457
0.8	-0.40868
0.82	0.04023
0.84	0.81358
0.86	0.22362
0.88	-0.23334
0.9	-0.10351
0.92	-0.93074
0.94	-0.79724
0.96	0.42499
0.98	0.94292
1	0.26236
1.02	-0.12133
1.04	-0.21171
1.06	-0.57802
1.08	-0.24974
1.1	-0.05279
1.12	-0.50116
1.14	-0.41952
1.16	-0.3534
1.18	0.27366
1.2	0.61906
1.22	0.2328
1.24	-0.09353
1.26	-0.44099
1.28	-0.49005
1.3	-0.03314
1.32	0.15615
1.34	-0.20445
1.36	-0.24828
1.38	-0.24077
1.4	-0.10381
1.42	-0.41349
1.44	-0.60512
1.46	-0.11181
1.48	-0.04533
1.5	-0.16456
1.52	-0.06698
1.54	-0.26408
1.56	-0.38594
1.58	-0.05335
1.6	0.32424
1.62	0.43824
1.64	0.01191
1.66	-0.98921
1.68	-1.29809
1.7	-0.94874
1.72	-0.58558
1.74	-0.01284
1.76	-0.04974
1.78	0.15349
1.8	0.68427
1.82	0.95689
1.84	0.72122
1.86	0.06393
1.88	-0.43311
1.9	-0.54427
1.92	0.98467
1.94	1.85117
1.96	1.00645
1.98	0.52853
2	-0.00774
2.02	-0.85411
2.04	-0.50435
2.06	0.36521
2.08	-0.72964
2.1	-1.59796
2.12	-1.87994
2.14	-1.75749
2.16	-1.63845
2.18	-1.23341
2.2	-0.55035
2.22	-0.2436
2.24	-0.63712
2.26	-0.43878
2.28	0.19679
2.3	-0.00458
2.32	-1.47213
2.34	-2.15519
2.36	-1.64572
2.38	-0.72467
2.4	0.34608
2.42	1.87187
2.44	2.82077
2.46	2.33387
2.48	1.69941
2.5	2.41743
2.52	3.1085
2.54	3.17773
2.56	2.73595
2.58	2.27904
2.6	1.7813
2.62	1.48992
2.64	1.42449
2.66	1.41033
2.68	1.43493
2.7	2.95424
2.72	4.5599
2.74	5.01537
2.76	5.37998
2.78	4.60146
2.8	3.40736
2.82	1.18006
2.84	-0.88739
2.86	-1.25541
2.88	1.90097
2.9	4.07064
2.92	3.41489
2.94	4.57509
2.96	3.99662
2.98	2.58322
3	1.50011
3.02	0.67608
3.04	-0.38608
3.06	-1.39571
3.08	-2.13157
3.1	-2.75697
3.12	-3.90497
3.14	-3.49157
3.16	-3.02179
3.18	-3.04835
3.2	-2.27684
3.22	-2.50455
3.24	-2.77923
3.26	-3.88819
3.28	-5.35403
3.3	-5.02763
3.32	-5.18083
3.34	-6.48019
3.36	-4.47694
3.38	-2.59887
3.4	-2.01926
3.42	-1.718
3.44	-2.21924
3.46	-1.88299
3.48	-0.84148
3.5	-0.06092
3.52	-1.11934
3.54	-1.41737
3.56	0.50116
3.58	1.21645
3.6	0.56869
3.62	0.10485
3.64	-1.07708
3.66	-1.82546
3.68	-1.4958
3.7	-1.29092
3.72	0.45033
3.74	1.86063
3.76	2.22655
3.78	2.40688
3.8	2.54139
3.82	2.26441
3.84	2.13998
3.86	2.05557
3.88	1.75705
3.9	1.59106
3.92	1.88671
3.94	2.43246
3.96	2.53822
3.98	2.17405
4	1.65496
4.02	1.18152
4.04	0.88595
4.06	0.64707
4.08	0.51818
4.1	0.65797
4.12	0.73404
4.14	0.50716
4.16	-0.64378
4.18	-1.90166
4.2	-2.0592
4.22	-1.88653
4.24	-2.36834
4.26	-2.24896
4.28	-0.52038
4.3	2.16778
4.32	4.32875
4.34	4.02008
4.36	2.09667
4.38	0.20258
4.4	-1.00076
4.42	-1.55534
4.44	-1.90576
4.46	-2.48627
4.48	-2.0381
4.5	-1.64585
4.52	-2.45646
4.54	-2.85453
4.56	-2.25522
4.58	-1.15498
4.6	1.89006
4.62	4.49555
4.64	4.21739
4.66	1.83661
4.68	0.19146
4.7	0.39641
4.72	0.62092
4.74	0.59304
4.76	-0.61966
4.78	-1.99948
4.8	-1.96357
4.82	-1.76927
4.84	-1.66037
4.86	-1.33277
4.88	-1.55513
4.9	-1.99864
4.92	-2.50634
4.94	-2.14228
4.96	-1.46998
4.98	-0.39948
5	-0.22887
5.02	-0.72997
5.04	0.64227
5.06	2.21344
5.08	1.39075
5.1	0.26464
5.12	-1.40118
5.14	-3.00634
5.16	-2.65229
5.18	-1.95439
5.2	-0.89915
5.22	0.66042
5.24	0.63666
5.26	-1.45342
5.28	-1.91687
5.3	-0.74676
5.32	-0.82818
5.34	-0.95095
5.36	-0.29133
5.38	-0.68418
5.4	-2.14864
5.42	-1.91352
5.44	-0.38649
5.46	-0.30758
5.48	-0.19961
5.5	0.30583
5.52	0.31548
5.54	1.28919
5.56	2.0308
5.58	1.54188
5.6	0.99307
5.62	0.95012
5.64	1.40493
5.66	2.34201
5.68	3.04896
5.7	3.18221
5.72	2.92305
5.74	2.17242
5.76	0.97604
5.78	0.24791
5.8	0.05379
5.82	0.10331
5.84	0.61488
5.86	0.86905
5.88	0.84499
5.9	0.40434
5.92	-0.2585
5.94	-2.40718
5.96	-0.74505
5.98	0.65935
6	-0.74596
6.02	-0.57695
6.04	-2.6182
6.06	-4.60284
6.08	-4.35013
6.1	-2.69974
6.12	-1.7936
6.14	-2.38031
6.16	-1.00015
6.18	1.87523
6.2	5.36222
6.22	6.70456
6.24	4.12326
6.26	1.95296
6.28	-0.31949
6.3	-1.14282
6.32	0.0907
6.34	-2.15678
6.36	-4.40993
6.38	-3.59313
6.4	-3.14744
6.42	-1.46867
6.44	-0.06101
6.46	0.70308
6.48	0.50185
6.5	0.39395
6.52	-0.76172
6.54	-1.10913
6.56	0.39161
6.58	3.44297
6.6	2.33855
6.62	-0.2316
6.64	-1.22889
6.66	-1.96004
6.68	-2.46618
6.7	-2.18049
6.72	-1.04857
6.74	-0.83783
6.76	-2.44224
6.78	-2.56823
6.8	-0.17416
6.82	0.38724
6.84	1.06004
6.86	1.43157
6.88	0.41968
6.9	0.05134
6.92	-1.54486
6.94	-3.15144
6.96	0.02573
6.98	2.21346
7	0.65443
7.02	1.28296
7.04	1.85984
7.06	2.88159
7.08	3.12277
7.1	1.93409
7.12	0.47381
7.14	-0.55666
7.16	-1.50323
7.18	-1.68138
7.2	-2.61275
7.22	-3.06338
7.24	-3.0565
7.26	-1.21196
7.28	1.42574
7.3	5.21261
7.32	8.52285
7.34	6.42641
7.36	3.75819
7.38	2.11133
7.4	0.66305
7.42	-0.31424
7.44	-0.16657
7.46	0.17649
7.48	0.70082
7.5	-0.52551
7.52	-3.0325
7.54	-3.18641
7.56	-2.56169
7.58	-3.72456
7.6	-4.34344
7.62	-2.84813
7.64	-3.13781
7.66	-3.65215
7.68	-2.32103
7.7	0.1859
7.72	6.78232
7.74	11.48062
7.76	7.43282
7.78	4.36476
7.8	3.96391
7.82	0.65664
7.84	0.00465
7.86	2.26898
7.88	0.71049
7.9	-0.28356
7.92	-0.27146
7.94	-1.52857
7.96	-4.43687
7.98	-5.57147
8	-4.06832
8.02	-2.42036
8.04	-0.94831
8.06	1.86695
8.08	1.46512
8.1	1.67813
8.12	3.15075
8.14	4.16466
8.16	6.98905
8.18	7.0746
8.2	3.08702
8.22	1.36783
8.24	1.66719
8.26	0.93305
8.28	-0.30616
8.3	-1.49021
8.32	-0.82371
8.34	-0.01652
8.36	1.84424
8.38	5.08311
8.4	3.15796
8.42	-2.6101
8.44	-5.04399
8.46	-3.42514
8.48	-5.09974
8.5	-8.5248
8.52	-6.02934
8.54	1.05207
8.56	3.4815
8.58	1.47479
8.6	0.51084
8.62	-0.34387
8.64	-0.75727
8.66	-0.80433
8.68	0.05305
8.7	0.46721
8.72	-0.04677
8.74	2.2948
8.76	3.73087
8.78	2.4265
8.8	-0.52054
8.82	-2.52046
8.84	-0.93654
8.86	-0.12941
8.88	0.13726
8.9	1.23234
8.92	0.65777
8.94	-0.12938
8.96	0.22668
8.98	2.84304
9	1.75305
9.02	-0.99112
9.04	-0.87586
9.06	-1.16166
9.08	-1.67833
9.1	-2.22834
9.12	-2.08585
9.14	-0.34418
9.16	2.80675
9.18	4.56117
9.2	4.20343
9.22	1.77017
9.24	-1.67908
9.26	-3.35024
9.28	-3.46532
9.3	-3.53209
9.32	-3.09459
9.34	-2.86771
9.36	-2.16892
9.38	-0.31919
9.4	1.17675
9.42	1.88597
9.44	1.60743
9.46	0.02885
9.48	-1.01439
9.5	-0.90468
9.52	-1.13671
9.54	-1.2673
9.56	-0.16447
9.58	0.96348
9.6	1.60467
9.62	1.7366
9.64	1.56478
9.66	1.03356
9.68	0.03131
9.7	-0.76147
9.72	-1.25568
9.74	-1.54189
9.76	-1.71986
9.78	-1.78847
9.8	-1.06811
9.82	0.62367
9.84	2.21714
9.86	3.03344
9.88	1.80246
9.9	0.56756
9.92	-0.24966
9.94	-1.43755
9.96	-1.98964
9.98	-1.56466
10	-0.7733
10.02	-0.21249
10.04	0.04762
10.06	0.52163
10.08	0.64303
10.1	0.44143
10.12	-0.26455
10.14	-1.02164
10.16	-1.1745
10.18	-1.30249
10.2	-1.4612
10.22	-0.49763
10.24	0.65617
10.26	1.64328
10.28	2.02245
10.3	1.69557
10.32	1.14653
10.34	0.5064
10.36	0.12288
10.38	-0.12977
10.4	-0.67627
10.42	-1.15737
10.44	-1.53223
10.46	-1.55398
10.48	-1.30277
10.5	-0.96234
10.52	-0.86769
10.54	-1.12489
10.56	-0.39377
10.58	-0.04709
10.6	-0.77365
10.62	-0.32089
10.64	0.74169
10.66	1.00576
10.68	0.55156
10.7	0.39303
10.72	0.07481
10.74	-0.49705
10.76	-0.90873
10.78	-1.11882
10.8	-1.12297
10.82	-0.93762
10.84	0.43751
10.86	1.54548
10.88	1.09424
10.9	1.02144
10.92	0.93621
10.94	1.12776
10.96	1.24732
10.98	0.63415
11	0.41695
11.02	0.75275
11.04	0.82231
11.06	0.57019
11.08	0.39465
11.1	-0.0153
11.12	-0.59894
11.14	-1.0034
11.16	-1.2353
11.18	-1.00186
11.2	-0.42506
11.22	-0.01079
11.24	0.16768
11.26	0.45493
11.28	0.79432
11.3	0.85534
11.32	0.68684
11.34	0.48792
11.36	0.17167
11.38	-0.20902
11.4	-0.37941
11.42	-0.43395
11.44	-0.69858
11.46	-1.0639
11.48	-1.03475
11.5	-0.67421
11.52	0.24172
11.54	0.74446
11.56	0.57634
11.58	0.24699
11.6	0.04111
11.62	-0.31327
11.64	-0.35688
11.66	-0.01061
11.68	0.2252
11.7	0.24167
11.72	0.05893
11.74	-0.12681
11.76	-0.15172
11.78	-0.47349
11.8	-0.8566
11.82	-0.40083
11.84	0.11493
11.86	0.30533
11.88	0.30047
11.9	0.16233
11.92	0.09504
11.94	0.18345
11.96	0.28061
11.98	0.16172
12	-0.02057
12.02	-0.23638
12.04	-0.22622
12.06	-0.12786
12.08	0.05047
12.1	0.11663
12.12	0.07494
12.14	-0.00506
12.16	-0.13254
12.18	-0.09947
12.2	-0.08122
12.22	-0.10423
12.24	-0.18404
12.26	-0.26006
12.28	-0.313
12.3	-0.2453
12.32	-0.14897
12.34	-0.16392
12.36	-0.13228
12.38	0.10022
12.4	0.32297
12.42	0.44009
12.44	0.51471
12.46	0.27564
12.48	-0.03214
12.5	0.06503
12.52	0.1669
12.54	0.25858
12.56	0.25447
12.58	0.15119
12.6	-0.04664
12.62	-0.32286
12.64	-0.33988
12.66	-0.24344
12.68	-0.2838
12.7	-0.34899
12.72	-0.24217
12.74	0.1411
12.76	0.41402
12.78	0.31316
12.8	0.39375
12.82	0.33879
12.84	0.10673
12.86	0.09879
12.88	0.10979
12.9	0.05237
12.92	0.03319
12.94	0.04668
12.96	0.03125
12.98	0.11824
13	0.29096
13.02	0.05417
13.04	-0.27154
13.06	-0.32647
13.08	-0.27414
13.1	-0.1515
13.12	-0.00187
13.14	0.09931
13.16	0.34235
13.18	0.55079
13.2	0.42957
13.22	0.26164
13.24	0.23892
13.26	0.18313
13.28	0.0901
13.3	0.07619
13.32	0.05937
13.34	0.01388
13.36	0.03822
13.38	0.04537
13.4	0.0091
13.42	0.04985
13.44	0.16294
13.46	0.23625
13.48	0.21783
13.5	0.131
13.52	0.06739
13.54	0.12292
13.56	0.24018
13.58	0.14542
13.6	-0.05284
13.62	-0.12048
13.64	-0.12412
13.66	-0.08203
13.68	0.04075
13.7	0.03138
13.72	-0.1258
13.74	-0.20189
13.76	-0.28338
13.78	-0.30722
13.8	-0.14733
13.82	0.0446
13.84	0.25766
13.86	0.24416
13.88	0.09334
13.9	0.00061
13.92	-0.15615
13.94	-0.06214
13.96	-0.0143
13.98	-0.1909
14	-0.33009
14.02	-0.38404
14.04	-0.45415
14.06	-0.45525
14.08	-0.39725
14.1	-0.18751
14.12	-0.02944
14.14	0.04452
14.16	0.13766
14.18	-0.06876
14.2	-0.27547
14.22	-0.20739
14.24	-0.22587
14.26	-0.33333
14.28	-0.27946
14.3	-0.21687
14.32	-0.42479
14.34	-0.38233
14.36	-0.11205
14.38	0.03978
14.4	0.04893
14.42	-0.01429
14.44	-0.07512
14.46	-0.22539
14.48	-0.20507
14.5	-0.01648
14.52	-0.02038
14.54	-0.00671
14.56	0.01311
14.58	0.02888
14.6	0.02532
14.62	-0.03744
14.64	-0.09628
14.66	-0.09369
14.68	-0.03228
14.7	0.01057
14.72	-0.1149
14.74	-0.21158
14.76	-0.09643
14.78	-0.04802
14.8	-0.01028
14.82	0.05602
14.84	0.01215
14.86	-0.05635
14.88	-0.00844
14.9	-0.03194
14.92	-0.06088
14.94	-0.02908
14.96	-0.1097
14.98	-0.17993
15	-0.13142
15.02	-0.09522
15.04	-0.04183
15.06	0.03591
15.08	-0.00459
15.1	0.0087
15.12	0.00883
15.14	-0.02412
15.16	-0.06339
15.18	-0.02931
15.2	0.00483
15.22	0.01198
15.24	0.04235
15.26	0.05028
15.28	0.0842
15.3	0.0943
15.32	0.07626
15.34	0.06885
15.36	0.05491
15.38	-0.01051
15.4	-0.17497
15.42	-0.17859
15.44	-0.01056
15.46	0.14897
15.48	0.29131
15.5	0.37966
15.52	0.24319
15.54	0.13237
15.56	0.16422
15.58	0.16188
15.6	0.10835
15.62	0.10467
15.64	0.07848
15.66	-0.00173
15.68	-0.00283
15.7	0.10645
15.72	0.31235
15.74	0.47852
15.76	0.43588
15.78	0.16028
15.8	-0.03143
15.82	-0.04744
15.84	-0.02142
15.86	0.03711
15.88	0.13203
15.9	0.13102
15.92	0.05744
15.94	0.01929
15.96	0.04158
15.98	0.15114
16	0.14865
16.02	-0.00814
16.04	-0.06356
16.06	-0.04598
16.08	-0.06167
16.1	-0.0189
16.12	0.04832
16.14	0.07797
16.16	0.01626
16.18	-0.09914
16.2	-0.21251
16.22	-0.27605
16.24	-0.29334
16.26	-0.28626
16.28	-0.18583
16.3	0.05144
16.32	0.27059
16.34	0.29926
16.36	0.20308
16.38	0.06804
16.4	-0.06965
16.42	-0.01737
16.44	0.09759
16.46	0.0999
16.48	-0.06135
16.5	-0.27089
16.52	-0.25647
16.54	-0.22678
16.56	-0.16499
16.58	-0.01369
16.6	-0.02892
16.62	-0.11242
16.64	-0.1263
16.66	-0.1021
16.68	-0.05159
16.7	-0.0438
16.72	-0.07636
16.74	-0.11733
16.76	-0.12286
16.78	-0.05343
16.8	-0.04287
16.82	0.00441
16.84	0.08718
16.86	0.1639
16.88	0.18559
16.9	0.16153
16.92	0.16375
16.94	0.17815
16.96	0.15679
16.98	0.15544
17	0.18715
17.02	0.04282
17.04	-0.19273
17.06	-0.20342
17.08	-0.10496
17.1	-0.0258
17.12	0.11474
17.14	0.07343
17.16	-0.15977
17.18	-0.26254
17.2	-0.158
17.22	-0.09821
17.24	-0.0149
17.26	0.00661
17.28	-0.02322
17.3	-0.04597
17.32	0.0028
17.34	-0.02078
17.36	-0.03437
17.38	-0.04809
17.4	-0.06674
17.42	-0.05827
17.44	-0.05278
17.46	-0.02262
17.48	-0.02064
17.5	0.01592
17.52	0.12366
17.54	0.11318
17.56	0.13094
17.58	0.09992
17.6	0.12527
17.62	0.13372
17.64	0.0233
17.66	0.07536
17.68	0.08317
17.7	-0.06108
17.72	-0.01424
17.74	0.05634
17.76	0.10211
17.78	0.22098
17.8	0.21703
17.82	0.02501
17.84	0.00365
17.86	0.00284
17.88	0.0542
17.9	0.1794
17.92	0.08089
17.94	0.00981
17.96	-0.06617
17.98	-0.17932
18	-0.0317
18.02	-0.00743
18.04	-0.09806
18.06	-0.05215
18.08	-0.09842
18.1	-0.13079
18.12	-0.0506
18.14	0.03921
18.16	0.12353
18.18	0.19528
18.2	0.06408
18.22	-0.09327
18.24	-0.15275
18.26	-0.18238
18.28	-0.12252
18.3	-0.08494
18.32	-0.05255
18.34	0.09297
18.36	0.26868
18.38	0.35406
18.4	0.35189
18.42	0.25127
18.44	0.04683
18.46	-0.08439
18.48	-0.06385
18.5	-0.07262
18.52	-0.06084
18.54	0.06546
18.56	0.033
18.58	-0.04085
18.6	0.00307
18.62	0.04157
18.64	0.10338
18.66	0.13222
18.68	0.15912
18.7	0.22367
18.72	0.28248
18.74	0.25374
18.76	0.12629
18.78	-0.00665
18.8	-0.16019
18.82	-0.16763
18.84	-0.09154
18.86	-0.04246
18.88	0.00152
18.9	-0.04569
18.92	-0.22746
18.94	-0.34309
18.96	-0.30242
18.98	-0.25033
19	-0.20045
19.02	-0.04011
19.04	0.23894
19.06	0.42338
19.08	0.45839
19.1	0.34378
19.12	-0.09227
19.14	-0.43379
19.16	-0.45395
19.18	-0.33339
19.2	-0.16884
19.22	-0.01281
19.24	0.14428
19.26	0.14719
19.28	0.08261
19.3	0.03042
19.32	-0.07815
19.34	-0.05948
19.36	-0.06447
19.38	-0.19129
19.4	-0.17648
19.42	-0.05573
19.44	0.04508
19.46	0.11228
19.48	0.20578
19.5	0.30669
19.52	0.20983
19.54	0.03034
19.56	-0.06151
19.58	-0.14087
19.6	-0.2373
19.62	-0.26546
19.64	-0.16543
19.66	0.00397
19.68	0.12648
19.7	0.16458
19.72	0.13513
19.74	0.07109
19.76	0.08814
19.78	0.06239
19.8	-0.04078
19.82	-0.08253
19.84	-0.18173
19.86	-0.13398
19.88	-0.00198
19.9	-0.07523
19.92	-0.13529
19.94	-0.03236
19.96	0.07703
19.98	0.16704
20	0.15626
20.02	0.00754
20.04	-0.14705
20.06	-0.21775
20.08	-0.21981
20.1	-0.15606
20.12	-0.05129
20.14	0.10732
20.16	0.21474
20.18	0.18382
20.2	0.18896
20.22	0.12832
20.24	-0.17865
20.26	-0.22389
20.28	-0.18931
20.3	-0.20576
20.32	-0.0824
20.34	-0.06909
20.36	-0.08573
20.38	0.09115
20.4	0.1301
20.42	0.12455
20.44	0.18067
20.46	0.20583
