t (s)	ag (m/s^2)
0	0.0000051295
0.01	-0.0000044057
0.02	-0.0000405270
0.03	-0.0000391620
0.04	-0.0000522610
0.05	0.0000032302
0.06	0.0000751080
0.07	0.0001057100
0.08	-0.0000268170
0.09	-0.0000932160
0.1	0.0000931560
0.11	0.0000558330
0.12	-0.0001151600
0.13	-0.0002461800
0.14	-0.0000532710
0.15	0.0003225300
0.16	0.0002271600
0.17	0.0000130990
0.18	-0.0000842730
0.19	-0.0001148600
0.2	-0.0001864600
0.21	-0.0001829600
0.22	0.0001623400
0.23	0.0002773000
0.24	0.0000430670
0.25	-0.0001042200
0.26	-0.0000749130
0.27	0.0000037107
0.28	0.0000868330
0.29	0.0000626730
0.3	-0.0000630140
0.31	0.0000334410
0.32	0.0001254700
0.33	0.0000454360
0.34	-0.0001366100
0.35	-0.0003126800
0.36	-0.0001280300
0.37	0.0002581500
0.38	0.0003717800
0.39	0.0000878070
0.4	-0.0001874800
0.41	-0.0001531100
0.42	-0.0000465440
0.43	-0.0000439070
0.44	-0.0000159310
0.45	0.0001157300
0.46	0.0002042500
0.47	0.0001157000
0.48	-0.0000957720
0.49	-0.0001742400
0.5	-0.0000458270
0.51	-0.0000542220
0.52	-0.0001157300
0.53	0.0001155800
0.54	0.0002646300
0.55	0.0000650670
0.56	-0.0001447000
0.57	-0.0001557000
0.58	-0.0000138560
0.59	0.0000535170
0.6	0.0000267640
0.61	0.0000032065
0.62	-0.0000332890
0.63	0.0000736880
0.64	0.0001358500
0.65	-0.0000951700
0.66	-0.0002553600
0.67	-0.0000440560
0.68	0.0001538700
0.69	0.0000962100
0.7	0.0000342230
0.71	0.0000352490
0.72	-0.0000143020
0.73	-0.0002364700
0.74	-0.0001925300
0.75	0.0002620200
0.76	0.0003084900
0.77	-0.0001483300
0.78	-0.0003118500
0.79	0.0000326320
0.8	0.0002267400
0.81	0.0000243090
0.82	-0.0001149200
0.83	0.0000257770
0.84	0.0000539690
0.85	-0.0000234750
0.86	0.0000836030
0.87	-0.0000733660
0.88	-0.0002763600
0.89	-0.0000034466
0.9	0.0002237400
0.91	0.0001264800
0.92	-0.0000560930
0.93	-0.0000838400
0.94	0.0000745140
0.95	0.0000852460
0.96	-0.0001042600
0.97	-0.0002362000
0.98	-0.0000927260
0.99	0.0001124800
1	0.0001381900
1.01	0.0000921350
1.02	-0.0000021352
1.03	-0.0000168640
1.04	-0.0000336220
1.05	-0.0001451100
1.06	-0.0001453200
1.07	0.0000762930
1.08	0.0002438500
1.09	0.0000964460
1.1	-0.0000456360
1.11	-0.0000245380
1.12	-0.0000043788
1.13	-0.0000457360
1.14	-0.0000735290
1.15	-0.0000559740
1.16	0.0000260180
1.17	0.0001152100
1.18	-0.0000256920
1.19	-0.0001327600
1.2	-0.0000376730
1.21	0.0001688100
1.22	0.0002714800
1.23	-0.0000112770
1.24	-0.0001973500
1.25	-0.0001634200
1.26	-0.0000443730
1.27	0.0001531200
1.28	0.0000691440
1.29	-0.0000999680
1.3	0.0000314040
1.31	0.0000589920
1.32	-0.0000489690
1.33	0.0000708550
1.34	0.0001279100
1.35	0.0000548970
1.36	-0.0001065400
1.37	-0.0001008500
1.38	0.0000199990
1.39	0.0000113880
1.4	0.0001293800
1.41	0.0000603160
1.42	-0.0001880000
1.43	-0.0001734400
1.44	0.0001363600
1.45	0.0002122600
1.46	-0.0000299340
1.47	-0.0001003000
1.48	0.0000312000
1.49	0.0000801050
1.5	-0.0001405600
1.51	-0.0001070900
1.52	0.0000860770
1.53	0.0000363450
1.54	0.0000330630
1.55	0.0000585900
1.56	0.0000018560
1.57	-0.0001312000
1.58	-0.0001673900
1.59	0.0000373310
1.6	0.0002144800
1.61	0.0001454100
1.62	0.0000462280
1.63	-0.0000858870
1.64	-0.0002430800
1.65	-0.0000759460
1.66	0.0001864200
1.67	0.0001150900
1.68	-0.0001448900
1.69	-0.0001435500
1.7	0.0000839210
1.71	0.0001072900
1.72	-0.0000764070
1.73	-0.0000829390
1.74	0.0001144200
1.75	0.0000958300
1.76	-0.0000541130
1.77	-0.0000555940
1.78	-0.0000029580
1.79	-0.0000762490
1.8	-0.0001529200
1.81	0.0000543750
1.82	0.0001959600
1.83	-0.0000242040
1.84	-0.0002054100
1.85	-0.0000531710
1.86	0.0000842000
1.87	0.0001564700
1.88	0.0003653500
1.89	0.0001447300
1.9	-0.0003625800
1.91	-0.0004272600
1.92	-0.0001210600
1.93	0.0001120400
1.94	0.0001386800
1.95	0.0002232900
1.96	0.0002966400
1.97	0.0001458600
1.98	-0.0002759900
1.99	-0.0004818700
2	-0.0001775700
2.01	0.0001188700
2.02	0.0002326400
2.03	0.0002278900
2.04	0.0001241400
2.05	-0.0001237700
2.06	-0.0002443200
2.07	-0.0001149400
2.08	-0.0000535870
2.09	0.0000948060
2.1	0.0001963400
2.11	0.0001350200
2.12	0.0000861860
2.13	-0.0001349500
2.14	-0.0002536100
2.15	-0.0001152400
2.16	-0.0000233880
2.17	0.0000948650
2.18	0.0002459700
2.19	0.0001861900
2.2	-0.0000759990
2.21	-0.0001713100
2.22	-0.0001487200
2.23	-0.0001787200
2.24	-0.0000606830
2.25	0.0002022800
2.26	0.0002495800
2.27	0.0000706830
2.28	0.0000424120
2.29	-0.0001230200
2.3	-0.0002934500
2.31	-0.0001270000
2.32	0.0001398300
2.33	0.0002109300
2.34	0.0000104440
2.35	-0.0000180630
2.36	0.0000779910
2.37	0.0000254970
2.38	-0.0001661200
2.39	-0.0001504200
2.4	0.0001104800
2.41	0.0000918270
2.42	-0.0001202600
2.43	-0.0001090200
2.44	0.0000820580
2.45	0.0001076000
2.46	0.0000859800
2.47	0.0000337650
2.48	-0.0000408130
2.49	-0.0001583200
2.5	-0.0003100600
2.51	-0.0000076773
2.52	0.0003681200
2.53	0.0003550100
2.54	0.0000851330
2.55	-0.0001921700
2.56	-0.0003170700
2.57	-0.0002308800
2.58	0.0000327330
2.59	0.0000882940
2.6	0.0000744220
2.61	0.0001561000
2.62	0.0002368200
2.63	0.0002138600
2.64	-0.0000713370
2.65	-0.0003373800
2.66	-0.0003607700
2.67	-0.0001572500
2.68	-0.0000214730
2.69	-0.0000260480
2.7	0.0003270400
2.71	0.0006656100
2.72	0.0003353900
2.73	-0.0002228600
2.74	-0.0006559100
2.75	-0.0006817900
2.76	-0.0001766700
2.77	0.0002786600
2.78	0.0004731600
2.79	0.0005186400
2.8	0.0005033900
2.81	0.0001082500
2.82	-0.0008060400
2.83	-0.0010625000
2.84	-0.0001650700
2.85	0.0006263200
2.86	0.0005964100
2.87	0.0002646600
2.88	0.0000882060
2.89	-0.0001270900
2.9	-0.0003803000
2.91	-0.0002781200
2.92	0.0000501000
2.93	0.0001523000
2.94	0.0000489300
2.95	-0.0000058631
2.96	-0.0000133010
2.97	0.0001164800
2.98	0.0001046400
2.99	-0.0000520320
3	-0.0000260400
3.01	-0.0001121600
3.02	-0.0002051600
3.03	-0.0000835690
3.04	0.0001064800
3.05	0.0001349400
3.06	0.0001875700
3.07	0.0003045200
3.08	-0.0000426890
3.09	-0.0002946200
3.1	-0.0001539200
3.11	-0.0001832600
3.12	-0.0001850800
3.13	0.0000075089
3.14	0.0002247400
3.15	0.0003371200
3.16	0.0003856200
3.17	0.0002959500
3.18	-0.0002731400
3.19	-0.0008250700
3.2	-0.0005524600
3.21	0.0000647260
3.22	0.0002872700
3.23	0.0003654400
3.24	0.0005363200
3.25	0.0003764600
3.26	-0.0002445600
3.27	-0.0005829000
3.28	-0.0004348300
3.29	-0.0002429700
3.3	0.0000155130
3.31	0.0002865700
3.32	0.0005260500
3.33	0.0005861400
3.34	0.0001663100
3.35	-0.0004039100
3.36	-0.0006837600
3.37	-0.0005537500
3.38	-0.0001539200
3.39	0.0003063100
3.4	0.0006462400
3.41	0.0005859600
3.42	0.0001667800
3.43	-0.0002746500
3.44	-0.0004626600
3.45	-0.0003950000
